company,city,domain,priority,careers_url,company_url,current_signal
Atlan,Bengaluru,Data Governance / SaaS,high,https://atlan.com/careers/,https://atlan.com/,Direct data governance overlap
SatSure,Bengaluru,Climate / Geospatial / Analytics,high,,https://www.satsure.co/,Strong climate and data overlap
Ambee,Bengaluru,Climate / Environmental Data,high,,https://www.getambee.com/,Strong environmental data overlap
Entrupy,Bengaluru,Computer Vision / Authentication,very_high,,https://www.entrupy.com/,ML/MLOps hiring signal
Kobie,Bengaluru,Loyalty Tech / AI,very_high,,https://www.kobie.com/,New Bengaluru tech hub
Emergent,Bengaluru,AI / Software,very_high,https://job-boards.greenhouse.io/emergentlabsinc,https://www.emergentlabs.ai/,Large Bengaluru hiring footprint
CoRover,Bengaluru,Generative AI / Enterprise AI,very_high,https://corover.ai/company/careers,https://corover.ai/,AI/data governance overlap
Decentro,Bengaluru,Fintech Infrastructure,high,https://wellfound.com/company/decentro/jobs,https://decentro.tech/,Data engineering/product analytics
Skit.ai,Bengaluru,Voice AI,high,https://skit.ai/careers/,https://skit.ai/,Voice AI/data
Gnani.ai,Bengaluru,Voice AI / NLP,high,https://careers.gnani.ai/,https://gnani.ai/,AI/NLP
Drona Pay,Mumbai,Fintech / Risk / Analytics,very_high,,https://www.dronapay.com/,Data Engineer hiring signal
Infinite Analytics,Mumbai,Consumer Insights / AI,high,,https://www.infinite-analytics.com/,Data science and big data
Postbridgetech,Mumbai,AI / Customer Intelligence,high,,https://www.postbridgetech.com/,Early-stage AI
LearnTube.ai,Mumbai,Edtech / AI,high,,https://learntube.ai/,AI growth
Applied Retention,Mumbai,AI / Customer Retention,high,,https://www.appliedretention.com/,AI engineering hiring
ParamAIQ,Mumbai,Legal AI,medium-high,,https://paramaiq.com/,AI/data
Vested Finance,Mumbai,Fintech / Investing,medium,,https://vestedfinance.com/,Data-heavy fintech
Kawa Space,Mumbai,Space Tech / Data,high,,https://kawaspace.com/,ML/geospatial
Wonderful,Mumbai,Enterprise AI,high,,https://www.wonderful.ai/,Mumbai expansion
Yotta Data Services,Mumbai,AI Infrastructure / Data Centres,medium-high,,https://yotta.com/,AI infrastructure expansion
Monsoon CreditTech,Mumbai,Fintech / Credit ML,medium,,https://monsooncredit.com/,Risk/data science
Troopod,Mumbai,AI / Growth Tech,high,,https://troopod.com/,AI product hiring
Jash Data Sciences,Pune,Data Science / AI / Analytics,very_high,,https://www.jashds.com/,Data science/data quality
Aventior,Pune,Industrial Tech / Data,high,,https://www.aventior.com/,Data science
EveoAI,Pune,Generative AI / Fashion Tech,very_high,,https://eveo.ai/,AI/ML/NLP
bipp,Pune,BI / Data Analytics,high,,https://www.bipp.io/,SQL/data engineering
GreenChoice,Pune,Sustainability Data,high,,https://greenchoice.io/,Sustainability data
SwitchOn,Pune,Industrial AI / Manufacturing,high,,https://switchon.io/,Industrial AI
Azodha,Pune,Healthtech,medium,,https://azodha.com/,Data/healthcare
PriceLabs,Pune,SaaS / Pricing Analytics,very_high,,https://hello.pricelabs.co/,Graduate data science opportunity
Scry AI,Pune,Enterprise AI,medium,,https://scryai.com/,Data/AI
Artefact,Pune,Data / AI Consulting,medium,,https://www.artefact.com/,Data science/engineering
Botsync,Pune,Robotics / Industrial Automation,high,,https://www.botsync.co/,Robotics/data
Yulu,Bengaluru,Mobility / Climate Tech,high,,https://www.yulu.bike/,Recent funding and expansion
Centricity,Bengaluru,Wealthtech / Fintech,high,,https://centricity.co.in/,Recent funding/expansion
Ayati Devices,Bengaluru,Medtech / AI,high,,https://ayatidevices.com/,AI diagnostics funding
Gyrus.AI,Bengaluru,AI / Computer Vision,high,,https://www.gyrus.ai/,Active hiring signal
Sphota,Bengaluru,Marketing Data / SaaS,high,,https://sphota.biz/,Data engineering
BDIPlus,Bengaluru,Data / Observability,high,,https://bdiplus.com/,Data quality/data pipelines
Senzcraft Technologies,Bengaluru,Automation / AI,medium-high,,https://senzcraft.com/,Data/ML
Augury,Bengaluru,Industrial AI / Predictive Analytics,medium-high,,https://www.augury.com/,Data platform
Netradyne,Bengaluru,Mobility / Computer Vision,medium-high,,https://www.netradyne.com/,Data/vision
Qure.ai,Bengaluru,Health AI,medium-high,,https://qure.ai/,ML/data
Niramai,Bengaluru,Health AI,medium-high,,https://www.niramai.com/,ML/research
SigTuple,Bengaluru,Healthtech / AI,medium-high,,https://www.sigtuple.com/,AI/data
Capillary Technologies,Bengaluru,SaaS / Customer Analytics,medium-high,,https://capillarytech.com/,Customer analytics
MoEngage,Bengaluru,SaaS / Customer Analytics,medium-high,,https://www.moengage.com/,Analytics/ML
Observe.AI,Bengaluru,Conversational AI / Analytics,medium-high,,https://www.observe.ai/,NLP/data
Whatfix,Bengaluru,Enterprise SaaS,medium-high,,https://whatfix.com/,Product analytics
LeadSquared,Bengaluru,SaaS / Sales Analytics,medium-high,,https://www.leadsquared.com/,Analytics/BI
Porter,Bengaluru,Logistics / Marketplace,high,,https://porter.in/,Operational data
BlackBuck,Bengaluru,Logistics / Fintech,high,,https://www.blackbuck.com/,Logistics data
Shadowfax,Bengaluru,Logistics / Marketplace,medium-high,,https://shadowfax.in/,Operational data
Ather Energy,Bengaluru,Mobility / Energy,medium-high,,https://www.atherenergy.com/,Telemetry/product data
Exponent Energy,Bengaluru,EV / Energy,high,,https://www.exponent.energy/,Energy data/forecasting
Hevo Data,Bengaluru,Data Infrastructure,medium-high,https://hevodata.com/careers/,https://hevodata.com/,Data platform
SigNoz,Bengaluru,Observability / Data Infrastructure,medium-high,,https://signoz.io/,Data infrastructure
